CO_ANO;CO_MES;CO_NCM;CO_UNID;CO_PAIS;SG_UF_NCM;CO_VIA;CO_URF;QT_ESTAT;KG_LIQUIDO;VL_FOB
1997;2;9011110;21;245;ES;1;717600;76;76800;153565
1997;5;9011110;21;355;MG;1;727600;366;364800;1080192
1997;9;9011110;21;232;ND;1;817800;216;216000;805982
1997;5;9011110;21;275;SP;1;817800;566;566400;2192237
1997;5;9011110;21;827;MG;1;727600;191;192000;547392
1997;5;9011110;21;764;SP;1;817800;774;775320;3295014
1997;10;9011110;21;355;SP;1;817800;59;58500;206995
1997;10;9011110;21;820;ES;1;727600;345;345000;828000
1997;5;9011110;21;756;SP;1;817800;44;43200;168572
1997;2;9011110;21;232;ES;1;727600;19;19200;40704
1997;5;9011110;21;63;MG;7;910600;25;24900;95450
1997;5;9011110;21;628;MG;1;817800;511;511200;2010333
1997;2;9011110;21;245;MG;1;727600;211;211200;539590
1997;10;9011110;21;386;MG;1;727600;19;19200;64320
1997;4;9011110;21;195;SP;1;817800;58;57600;207748
1997;10;9011110;21;301;MG;1;727600;956;960000;2679216
1997;5;9011110;21;249;ND;1;817800;345;345600;1341635
1997;10;9011110;21;827;ES;1;727600;670;672600;1823876
1997;2;9011110;21;63;SP;7;1010900;0;120;431
1997;5;9011110;21;149;ES;1;727600;328;327300;545832
1997;10;9011110;21;245;ND;1;817800;57;57600;191178
1997;10;9011110;21;538;MG;1;817800;595;594600;1974114
1997;10;9011110;21;63;RO;1;817800;288;288000;494390
1997;5;9011110;21;399;PR;1;817800;52;52200;243088
1997;10;9011110;21;245;MG;1;717600;73;73200;234662
1997;10;9011110;21;301;MG;1;717600;38;38400;137088
1997;5;9011110;21;386;MG;1;717600;115;115200;447176
1997;5;9011110;21;845;PR;7;1015300;41;40800;121720
1997;10;9011110;21;63;PR;1;817800;38;38400;96000
1997;10;9011110;21;845;MG;7;1015300;2;2400;7560
1997;10;9011110;21;399;MG;4;817600;0;300;2599
1997;10;9011110;21;154;MG;1;817800;18;18000;51840
1997;10;9011110;21;586;PR;7;910600;25;24900;62250
1997;10;9011110;21;63;MG;1;727600;38;38400;104480
1997;10;9011110;21;87;PR;1;817800;236;235200;751204
1997;10;9011110;21;158;MG;7;1010900;96;96000;264000
1997;10;9011110;21;23;BA;1;517600;93;93600;330288
1997;3;9011110;21;399;ES;1;717600;180;180000;486780
1997;3;9011110;21;275;MG;1;817800;1407;1406700;4968376
1997;8;9011110;21;23;MG;1;817800;10173;10173540;37030700
1997;8;9011110;21;403;ES;1;717600;19;19200;52224
1997;11;9011110;21;87;MG;1;817800;1643;1645800;5317857
1997;3;9011110;21;87;SP;1;817800;1405;1406100;4750610
1997;3;9011110;21;388;ES;1;727600;54;54000;203040
1997;6;9011110;21;23;MG;1;817800;6277;6285060;24384821
1997;6;9011110;21;744;MG;1;727600;57;57600;165696
1997;6;9011110;21;69;MG;1;817800;113;114000;438387
1997;3;9011110;21;245;SP;1;817800;341;342360;1051757
1997;11;9011110;21;87;SP;1;817800;373;374400;1151773
1997;11;9011110;21;249;ES;1;727600;367;367200;1021434
1997;3;9011110;21;87;MG;1;817800;2879;2883600;9571488
1997;8;9011110;21;249;BA;1;517600;109;109800;448824
1997;8;9011110;21;232;ES;1;817800;30;29580;100677
1997;4;9011110;21;538;SP;1;817800;795;795600;2616001
1997;8;9011110;21;87;SP;1;817800;536;536400;1676968
